source_definition,source_module,broad6_module,assignment_status,evidence_source,definition_version,notes
core10_canonical,Circadian rhythm,Circadian,frozen_canonical,fruitArchitecture v0.1 PHMIES definition; Paper 3 conserved organizational framework,broad6-v1.0,Core10 temporal-regulation pathway assigned directly to the Broad6 Circadian module.
core10_canonical,Plant hormone signal transduction,Hormone,frozen_canonical,fruitArchitecture v0.1 PHMIES definition; Paper 3 conserved organizational framework,broad6-v1.0,Core10 hormone-signaling pathway assigned directly to the Broad6 Hormone module.
core10_canonical,MAPK signaling,MAPK,frozen_canonical,fruitArchitecture v0.1 PHMIES definition; Paper 3 conserved organizational framework,broad6-v1.0,Core10 MAPK-signaling pathway assigned directly to the Broad6 MAPK module.
core10_canonical,Information exchange,Information Exchange,frozen_canonical,fruitArchitecture v0.1 PHMIES definition; Paper 3 conserved organizational framework,broad6-v1.0,"Core10 Information exchange umbrella retained for environmental sensing, defense, cellular communication, and information transfer."
core10_canonical,Protein processing in endoplasmic reticulum,Proteostasis,frozen_canonical,fruitArchitecture v0.1 PHMIES definition; Paper 3 conserved organizational framework,broad6-v1.0,Endoplasmic-reticulum protein processing is assigned to Proteostasis as a protein-folding and quality-control pathway.
core10_canonical,RNA transport,RNA regulation,frozen_canonical,fruitArchitecture v0.1 PHMIES definition; Paper 3 conserved organizational framework,broad6-v1.0,RNA transport is assigned to RNA regulation as a pathway controlling RNA localization and trafficking.
core10_canonical,RNA degradation,RNA regulation,frozen_canonical,fruitArchitecture v0.1 PHMIES definition; Paper 3 conserved organizational framework,broad6-v1.0,RNA degradation is assigned to RNA regulation as a pathway controlling RNA turnover and transcript stability.
core10_canonical,SNARE interactions,Proteostasis,frozen_canonical,fruitArchitecture v0.1 PHMIES definition; Paper 3 conserved organizational framework,broad6-v1.0,"SNARE-mediated vesicular trafficking is assigned to Proteostasis because it supports protein trafficking, compartmentalization, and cellular homeostasis."
core10_canonical,Autophagy,Proteostasis,frozen_canonical,fruitArchitecture v0.1 PHMIES definition; Paper 3 conserved organizational framework,broad6-v1.0,Autophagy is assigned to Proteostasis as a protein/organelle turnover and cellular quality-control pathway.
core10_canonical,Sulfur relay system,Proteostasis,frozen_canonical,fruitArchitecture v0.1 PHMIES definition; Paper 3 conserved organizational framework,broad6-v1.0,"The sulfur relay system is assigned to Proteostasis because it supports protein modification, cofactor maturation, and macromolecular homeostasis."
core10_alias,circadian rhythm,Circadian,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Circadian rhythm'; inherits its frozen Broad6 assignment.
core10_alias,cr,Circadian,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Circadian rhythm'; inherits its frozen Broad6 assignment.
core10_alias,plant hormone signal transduction,Hormone,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Plant hormone signal transduction'; inherits its frozen Broad6 assignment.
core10_alias,plant hormone signaling,Hormone,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Plant hormone signal transduction'; inherits its frozen Broad6 assignment.
core10_alias,hormone signaling,Hormone,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Plant hormone signal transduction'; inherits its frozen Broad6 assignment.
core10_alias,phst,Hormone,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'Plant hormone signal transduction'; inherits its frozen Broad6 assignment.
core10_alias,mapk signaling,MAPK,frozen_alias,fruitArchitecture v0.1 PHMIES alias registry; normalized to frozen Broad6 v1,broad6-v1.0,Alias of 'MAPK signaling'; inherits its frozen Broad6 assignment.
